Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_18x17.5,2,2200 uF,C249505
"C10, C14, C15, C19, C20, C24, C25, C29, C30, C34, C35, C39, C40, C44, C45, C49, C50, C54, C55, C59, C60, C64, C65, C69, C70, C74, C75, C79, C80, C84, C85, C9",1206,32,10 uF,C13585
"C11, C16, C21, C26, C31, C36, C41, C46, C51, C56, C61, C66, C71, C76, C81, C86",1206,16,1 uF,C1848
"C12, C13, C17, C18, C22, C23, C27, C28, C32, C33, C37, C38, C42, C43, C47, C48, C52, C53, C57, C58, C62, C63, C67, C68, C7, C72, C73, C77, C78, C8, C82, C83",0603,32,0.1 uF,C14663
"C3, C4",CP_Elec_4x5.4,2,1u,C3348
"C5, C6",CP_Elec_4x5.4,2,10 uF,C3343
D1,Diode_Bridge_Vishay_GBU,1,GBU808,C3072
"D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D13, D14, D16, D17, D19, D20, D22, D23, D25, D26, D28, D29, D31, D32, D34, D35, D37, D38, D4, D40, D41, D43, D44, D46, D47, D49, D5, D50, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-123F,80,1N4001,C162732
"D12, D15, D18, D21, D24, D27, D3, D30, D33, D36, D39, D42, D45, D48, D6, D9",D_SOD-123F,16,1N4002,C169542
"D2, D51, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D62, D63, D64, D65, D66",0603,17,LED,C2286
J1,TE_1546551-3,1,1546551-3,
J2,PinHeader_2x16_P2.54mm_Vertical,1,Conn_02x16_Odd_Even,C132130
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,C7509512
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,C7509516
R1,0805,1,220,C17557
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R4, R5, R6, R7, R8, R9",0805,32,560,C28636
"R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49",0805,16,1k,C17513
"RV1, RV10, RV13, RV14, RV17, RV18, RV2, RV21, RV22, RV25, RV26, RV29, RV30, RV33, RV34, RV37, RV38, RV41, RV42, RV45, RV46, RV49, RV5, RV50, RV53, RV54, RV57, RV58, RV6, RV61, RV62, RV9",Potentiometer_Runtron_RM-065_Vertical,32,10k,C5205043
"RV11, RV15, RV19, RV23, RV27, RV3, RV31, RV35, RV39, RV43, RV47, RV51, RV55, RV59, RV63, RV7",Potentiometer_Runtron_RM-065_Vertical,16,1k,C5205040
"RV12, RV16, RV20, RV24, RV28, RV32, RV36, RV4, RV40, RV44, RV48, RV52, RV56, RV60, RV64, RV8",TRIM_3362P-1-103,16,100,C118959
"S1, S2",SW_1-1825058-9,2,1-1825058-9,C266184
U1,TO-220-3_Vertical,1,LM7818,C15411
"U10, U13, U16, U19, U22, U25, U28, U31, U34, U37, U4, U40, U43, U46, U49, U7",SOT-23_ONS-L,16,MMBFJ309LT1G,C58012
"U11, U12, U14, U15, U17, U18, U20, U21, U23, U24, U26, U27, U29, U3, U30, U32, U33, U35, U36, U38, U39, U41, U42, U44, U45, U47, U48, U5, U50, U6, U8, U9",SOIC127P600X175-8N,32,LM317LDR2G,C81457
U2,TO-220-3_Vertical,1,LM7905,C3799
